epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,22868.6,0.94967,0.90955,1.24861,0.81985,0.76039,0.82122,0.60609,1.08299,0.79173,1.40992,0.005215,0.005215,0.005215
147,23026.5,0.95176,0.9179,1.24534,0.856,0.74074,0.81909,0.6096,1.08275,0.78697,1.408,0.005182,0.005182,0.005182
148,23184.2,0.95174,0.91987,1.25115,0.86522,0.74269,0.82428,0.61214,1.07829,0.78368,1.40321,0.005149,0.005149,0.005149
149,23342,0.94494,0.90609,1.24895,0.86563,0.73759,0.82418,0.61105,1.0731,0.78215,1.39799,0.005116,0.005116,0.005116
150,23500,0.94551,0.89472,1.24328,0.84548,0.74488,0.82184,0.61108,1.07036,0.78397,1.39522,0.005083,0.005083,0.005083
151,23657.8,0.93011,0.88329,1.23229,0.83063,0.74964,0.82192,0.61196,1.06613,0.78288,1.39274,0.00505,0.00505,0.00505
152,23817.6,0.93254,0.90157,1.24464,0.8794,0.71708,0.8199,0.61487,1.06505,0.78175,1.3932,0.005017,0.005017,0.005017
153,23980.7,0.93333,0.89557,1.23839,0.85068,0.73861,0.82035,0.61443,1.06551,0.78212,1.39425,0.004984,0.004984,0.004984
154,24145.4,0.93133,0.87743,1.23411,0.85919,0.72904,0.82056,0.61499,1.06376,0.78147,1.39497,0.004951,0.004951,0.004951
155,24310,0.9206,0.89066,1.22925,0.85817,0.73452,0.82105,0.61318,1.06179,0.78124,1.39393,0.004918,0.004918,0.004918
156,24476.8,0.92726,0.88557,1.23349,0.86064,0.7356,0.81892,0.61371,1.05969,0.78172,1.39209,0.004885,0.004885,0.004885
157,24642.1,0.93027,0.88735,1.23754,0.83788,0.75182,0.82321,0.61378,1.05834,0.78038,1.39069,0.004852,0.004852,0.004852
158,24807.6,0.91499,0.86831,1.22087,0.83863,0.7494,0.8197,0.61274,1.05744,0.77912,1.39105,0.004819,0.004819,0.004819
